               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11455,            0.014852,            0.077187,           0.0091688,               0.525,            0.053447,           0.0097496,            0.081318,            0.011484,            0.062056,              0.0982,              0.0002,              0.0002
                   1,             0.11437,            0.014233,            0.074825,           0.0079865,                 0.5,            0.040384,           0.0084973,             0.07728,            0.012058,              0.0611,            0.095499,          0.00049901,          0.00049901
                   2,             0.10508,             0.01789,            0.073382,           0.0072519,               0.475,            0.037821,           0.0076739,            0.072263,            0.013077,            0.059562,            0.092797,          0.00079683,          0.00079683
                   3,              0.0958,            0.019964,            0.068849,           0.0066341,               0.475,            0.019342,           0.0059977,            0.064532,            0.014725,            0.057297,            0.090093,           0.0010935,           0.0010935
                   4,            0.086735,            0.025765,            0.065522,            0.010359,                0.75,            0.017572,           0.0040047,            0.058314,            0.016451,            0.053648,            0.087389,           0.0013889,           0.0013889
                   5,            0.078544,            0.024451,            0.062349,            0.010972,               0.825,            0.022412,           0.0056132,            0.056334,            0.016935,            0.050894,            0.084683,           0.0016832,           0.0016832
                   6,            0.079597,            0.023136,            0.060711,            0.011971,                0.95,            0.037529,           0.0092883,            0.051357,            0.017327,            0.047784,            0.081976,           0.0019762,           0.0019762
                   7,            0.076068,            0.031105,            0.056309,             0.01117,               0.975,            0.065971,            0.014596,             0.05139,            0.017424,            0.045645,            0.079268,           0.0022681,           0.0022681
                   8,            0.072167,            0.030671,            0.052482,            0.010346,                   1,             0.09202,            0.035291,            0.047281,            0.017158,             0.04085,            0.076559,           0.0025588,           0.0025588
                   9,            0.069193,            0.024202,            0.048057,            0.011158,                   1,             0.13279,            0.034904,            0.059315,            0.014344,            0.037462,            0.073848,           0.0028483,           0.0028483
                  10,            0.077707,            0.026185,            0.047777,             0.12335,               0.075,             0.17809,            0.064836,            0.052057,            0.014444,            0.031312,            0.071137,           0.0031366,           0.0031366
                  11,            0.070789,            0.024174,            0.042218,             0.13447,                 0.3,             0.15854,            0.035712,            0.070599,            0.010912,            0.030818,            0.068424,           0.0034238,           0.0034238
                  12,            0.074276,            0.023628,            0.039627,            0.075221,               0.675,             0.11116,            0.035128,            0.067259,            0.011247,             0.02952,             0.06571,           0.0037097,           0.0037097
                  13,            0.083705,            0.018177,            0.038023,             0.06251,                0.95,             0.06699,            0.023343,            0.075612,            0.009745,            0.029131,            0.062994,           0.0039945,           0.0039945
                  14,            0.073283,            0.016989,            0.037386,             0.41674,               0.725,               0.556,             0.16411,            0.056685,            0.011176,            0.029177,            0.060278,            0.004278,            0.004278
                  15,            0.071403,            0.019316,             0.03597,             0.20489,                0.55,             0.22166,            0.046414,            0.074289,           0.0097518,            0.030265,             0.05756,           0.0045604,           0.0045604
                  16,            0.071373,            0.020635,            0.035926,             0.47052,                 0.9,              0.5319,             0.25052,            0.054556,            0.010904,            0.030472,            0.054842,           0.0048416,           0.0048416
                  17,            0.065187,             0.01942,            0.035623,             0.28007,                0.55,             0.30913,            0.054048,             0.07775,            0.010677,             0.03033,            0.052122,           0.0051216,           0.0051216
                  18,            0.094124,            0.014413,            0.034667,            0.044684,               0.475,            0.044134,           0.0092334,            0.096855,             0.01087,            0.028443,              0.0494,           0.0054004,           0.0054004
                  19,             0.10427,             0.01148,            0.035153,             0.32474,               0.675,              0.3897,            0.072727,            0.085542,           0.0093634,            0.026033,            0.046678,            0.005678,            0.005678
                  20,            0.099741,            0.013417,            0.034882,             0.16609,               0.875,              0.1667,            0.046929,            0.088031,           0.0087696,            0.024997,            0.043954,           0.0059545,           0.0059545
                  21,            0.099595,            0.013827,            0.033396,             0.14242,               0.875,             0.18034,            0.064339,            0.078763,           0.0088486,            0.024427,             0.04123,           0.0062297,           0.0062297
                  22,            0.092787,            0.013287,            0.034373,             0.10633,                 0.8,             0.14352,            0.037364,            0.073662,           0.0091436,            0.024844,            0.038504,           0.0065038,           0.0065038
                  23,            0.092206,            0.015487,             0.03434,             0.23052,               0.575,             0.49774,             0.13087,             0.07852,           0.0081703,            0.025248,            0.035777,           0.0067767,           0.0067767
                  24,            0.091146,            0.014251,            0.032826,             0.07337,                0.85,            0.086766,            0.025528,            0.079575,           0.0090597,             0.02552,            0.033048,           0.0070484,           0.0070484
                  25,            0.090906,            0.012148,            0.031129,             0.14832,               0.675,             0.17846,            0.030904,             0.08142,           0.0089367,            0.024849,            0.030319,           0.0073188,           0.0073188
                  26,            0.094147,            0.013029,            0.031479,             0.12969,                 0.6,             0.14155,            0.027927,            0.077024,           0.0092045,            0.024858,            0.027588,           0.0075882,           0.0075882
                  27,            0.088134,             0.01449,            0.031015,             0.12104,               0.925,             0.13645,            0.065727,            0.067556,           0.0099334,            0.023859,            0.024856,           0.0078563,           0.0078563
                  28,            0.077238,            0.015469,            0.032937,             0.12104,               0.925,             0.13645,            0.065727,            0.067556,           0.0099334,            0.023859,            0.022123,           0.0081232,           0.0081232
                  29,             0.07451,            0.016061,             0.03269,             0.15886,                 0.8,              0.1951,            0.062561,            0.057235,             0.01033,            0.023901,            0.019389,            0.008389,            0.008389
                  30,            0.074969,             0.01591,            0.030101,              0.2864,             0.51697,             0.35187,             0.15126,            0.060134,           0.0098602,            0.025201,            0.016654,           0.0086535,           0.0086535
